instance,hour,price
$1.27296 per On Demand Linux m6idn.4xlarge,0.034,0.04
$1.30 per On Demand Linux vt1.6xlarge,0.107,0.14
$1.336 per On Demand Linux r5dn.4xlarge,0.039,0.05
$1.34375 per On Demand Linux trn1.2xlarge,0.048,0.06
$1.356 per On Demand Linux i3en.3xlarge,0.044,0.06
$1.36 per On Demand Linux c6i.8xlarge,0.033,0.05
$1.373 per On Demand Linux i4i.4xlarge,0.039,0.05
$1.376 per On Demand Linux c5ad.8xlarge,0.041,0.06
$1.376 per On Demand Linux m5a.8xlarge,0.038,0.05
$1.38 per On Demand Linux d2.2xlarge,0.033,0.05
$1.3824 per On Demand Linux m6a.8xlarge,0.04,0.06
$1.39464 per On Demand Linux r6in.4xlarge,0.037,0.05
$1.53 per On Demand Linux c5.9xlarge,0.038,0.06
$1.536 per On Demand Linux m5.8xlarge,0.054,0.08
$1.536 per On Demand Linux m6i.8xlarge,0.037,0.06
$1.56312 per On Demand Linux r6idn.4xlarge,0.035,0.05
$1.591 per On Demand Linux c4.8xlarge,0.033,0.05
$1.6128 per On Demand Linux c6id.8xlarge,0.045,0.07
$1.624 per On Demand Linux g5.4xlarge,0.042,0.07
$1.648 per On Demand Linux m5ad.8xlarge,0.033,0.05
$1.65 per On Demand Linux f1.2xlarge,0.035,0.06
$1.66725 per On Demand Linux x2iedn.2xlarge,0.033,0.06
$1.668 per On Demand Linux x1e.2xlarge,0.033,0.06
$1.668 per On Demand Linux x2iezn.2xlarge,0.058,0.10
$1.728 per On Demand Linux c5d.9xlarge,0.045,0.08
$1.734 per On Demand Linux g4ad.8xlarge,0.062,0.11
$1.808 per On Demand Linux m5d.8xlarge,0.042,0.08
$1.808 per On Demand Linux r5a.8xlarge,0.042,0.08
$1.8144 per On Demand Linux c6in.8xlarge,0.033,0.06
$1.8144 per On Demand Linux r6a.8xlarge,0.047,0.08
$1.836 per On Demand Linux c6a.12xlarge,0.039,0.07
$1.848 per On Demand Linux c5a.12xlarge,0.049,0.09
$1.872 per On Demand Linux h1.8xlarge,0.033,0.06
$1.8984 per On Demand Linux m6id.8xlarge,0.039,0.07
$1.904 per On Demand Linux m5n.8xlarge,0.045,0.09
$1.944 per On Demand Linux c5n.9xlarge,0.039,0.08
$1.982 per On Demand Linux m5zn.6xlarge,0.04,0.08
$1.998 per On Demand Linux d3.4xlarge,0.05,0.10
$10.0035 per On Demand Linux x2idn.24xlarge,0.073,0.73
$10.008 per On Demand Linux x2iezn.12xlarge,0.048,0.48
$10.18368 per On Demand Linux m6idn.32xlarge,0.035,0.36
$10.848 per On Demand Linux i3en.24xlarge,0.033,0.36
$10.848 per On Demand Linux i3en.metal,0.044,0.48
$10.8864 per On Demand Linux r6a.48xlarge,0.048,0.53
$10.9824 per On Demand Linux i4i.32xlarge,0.039,0.43
$11.15712 per On Demand Linux r6in.32xlarge,0.045,0.50
$12.24 per On Demand Linux p3.8xlarge,0.408,4.99
$12.50496 per On Demand Linux r6idn.32xlarge,0.033,0.42
$13.10904 per On Demand Linux dl1.24xlarge,0.06,0.79
$13.20 per On Demand Linux f1.16xlarge,0.071,0.94
$13.338 per On Demand Linux x1.32xlarge,0.134,1.79
$13.338 per On Demand Linux x2idn.32xlarge,0.041,0.54
$13.338 per On Demand Linux x2iedn.16xlarge,0.035,0.46
$13.344 per On Demand Linux x1e.16xlarge,0.136,1.81
$16.288 per On Demand Linux g5.48xlarge,0.05,0.81
$2.016 per On Demand Linux r5.8xlarge,0.052,0.10
$2.016 per On Demand Linux r6i.8xlarge,0.033,0.07
$2.04 per On Demand Linux c5.12xlarge,0.048,0.10
$2.04 per On Demand Linux c6i.12xlarge,0.039,0.08
$2.064 per On Demand Linux c5ad.12xlarge,0.038,0.08
$2.064 per On Demand Linux m5a.12xlarge,0.033,0.07
$2.0736 per On Demand Linux m6a.12xlarge,0.033,0.07
$2.096 per On Demand Linux r5ad.8xlarge,0.033,0.07
$2.103 per On Demand Linux d3en.4xlarge,0.035,0.07
$2.128 per On Demand Linux r4.8xlarge,0.033,0.07
$2.176 per On Demand Linux g4dn.8xlarge,0.048,0.11
$2.176 per On Demand Linux m5dn.8xlarge,0.046,0.10
$2.22768 per On Demand Linux m6in.8xlarge,0.034,0.08
$2.232 per On Demand Linux z1d.6xlarge,0.033,0.07
$2.28 per On Demand Linux g3.8xlarge,0.366,0.83
$2.304 per On Demand Linux c5d.12xlarge,0.039,0.09
$2.304 per On Demand Linux m5.12xlarge,0.033,0.08
$2.304 per On Demand Linux m6i.12xlarge,0.037,0.09
$2.304 per On Demand Linux r5d.8xlarge,0.048,0.11
$2.384 per On Demand Linux r5b.8xlarge,0.052,0.12
$2.384 per On Demand Linux r5n.8xlarge,0.058,0.14
$2.4192 per On Demand Linux c6id.12xlarge,0.033,0.08
$2.4192 per On Demand Linux r6id.8xlarge,0.035,0.09
$2.448 per On Demand Linux c6a.16xlarge,0.033,0.08
$2.448 per On Demand Linux g5.8xlarge,0.044,0.11
$2.464 per On Demand Linux c5a.16xlarge,0.047,0.12
$2.472 per On Demand Linux m5ad.12xlarge,0.042,0.10
$2.496 per On Demand Linux i3.8xlarge,0.039,0.10
$2.54592 per On Demand Linux m6idn.8xlarge,0.039,0.10
$2.672 per On Demand Linux r5dn.8xlarge,0.056,0.15
$2.712 per On Demand Linux i3en.6xlarge,0.051,0.14
$2.712 per On Demand Linux m5d.12xlarge,0.034,0.09
$2.712 per On Demand Linux r5a.12xlarge,0.051,0.14
$2.72 per On Demand Linux c6i.16xlarge,0.035,0.10
$2.7216 per On Demand Linux c6in.12xlarge,0.033,0.09
$2.7216 per On Demand Linux r6a.12xlarge,0.047,0.13
$2.746 per On Demand Linux i4i.8xlarge,0.038,0.11
$2.752 per On Demand Linux c5ad.16xlarge,0.038,0.10
$2.752 per On Demand Linux m5a.16xlarge,0.05,0.14
$2.76 per On Demand Linux d2.4xlarge,0.033,0.09
$2.7648 per On Demand Linux m6a.16xlarge,0.044,0.12
$2.78928 per On Demand Linux r6in.8xlarge,0.043,0.12
$2.8476 per On Demand Linux m6id.12xlarge,0.048,0.14
$2.856 per On Demand Linux m5n.12xlarge,0.038,0.11
$20.007 per On Demand Linux x2iedn.24xlarge,0.104,2.09
$21.50 per On Demand Linux trn1.32xlarge,0.103,2.22
$24.48 per On Demand Linux p3.16xlarge,0.494,12.10
$26.676 per On Demand Linux x2iedn.32xlarge,0.049,1.30
$26.676 per On Demand Linux x2iedn.metal,0.101,2.70
