,Architecture,BogoMIPS,Byte Order,CPU MHz,CPU Platform,CPU family,CPU max MHz,CPU min MHz,CPU op-mode(s),CPU(s),CloudProvider,Core(s) per socket,Current Speed,Flags,Hypervisor vendor,InstanceCategory,InstanceType,L1d cache,L1i cache,L2 cache,L3 cache,Max Speed,Model,Model name,NUMA node(s),NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node10 CPU(s),NUMA node11 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),NUMA node8 CPU(s),NUMA node9 CPU(s),On-line CPU(s) list,Socket(s),Stepping,Thread(s) per core,Vendor ID,Virtualization,Virtualization type
0,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",8,AWS,4,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.2xlarge,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0-7,,,,,,,,,,,,0-7,2,r0p3,1,ARM,,
1,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",16,AWS,4,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.4xlarge,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0-15,,,,,,,,,,,,0-15,4,r0p3,1,ARM,,
2,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",2,AWS,2,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.large,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,"0,1",,,,,,,,,,,,"0,1",1,r0p3,1,ARM,,
3,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",1,AWS,1,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.medium,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0,,,,,,,,,,,,0,1,r0p3,1,ARM,,
4,aarch64,166.66,Little Endian,2500 MHz,,,,,"32-bit, 64-bit",4,AWS,4,2500 MHz,fp asimd evtstrm aes pmull sha1 sha2 crc32 cpuid,,a1,a1.xlarge,32K,48K,2048K,,2500 MHz,3,Cortex-A72,1,0-3,,,,,,,,,,,,0-3,1,r0p3,1,ARM,,
5,x86_64,3600.08,Little Endian,1800.091,,6,,,"32-bit, 64-bit",8,AWS,8,1800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes hypervisor lahf_lm pti,Xen,c1,c1.xlarge,32K,32K,256K,20480K,1800 MHz,45,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,1,0-7,,,,,,,,,,,,0-7,1,7,1,GenuineIntel,,full
6,x86_64,5600.14,Little Endian,2799.946,,6,,,"32-bit, 64-bit",8,AWS,4,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.2xlarge,32K,32K,256K,25600K,2800 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,0-7,,,,,,,,,,,,0-7,1,4,2,GenuineIntel,,full
7,x86_64,5600.11,Little Endian,2800.180,,6,,,"32-bit, 64-bit",16,AWS,8,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.4xlarge,32K,32K,256K,25600K,2800 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,0-15,,,,,,,,,,,,0-15,1,4,2,GenuineIntel,,full
8,x86_64,5586.56,Little Endian,2793.232,,6,,,"32-bit, 64-bit",32,AWS,8,2793 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.8xlarge,32K,32K,256K,25600K,2793 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,2,"0-7,16-23","8-15,24-31",,,,,,,,,,,0-31,2,4,2,GenuineIntel,,full
9,x86_64,5586.74,Little Endian,2786.554,,6,,,"32-bit, 64-bit",2,AWS,1,2793 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.large,32K,32K,256K,25600K,2793 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,"0,1",,,,,,,,,,,,"0,1",1,4,2,GenuineIntel,,full
10,x86_64,5586.58,Little Endian,2793.269,,6,,,"32-bit, 64-bit",4,AWS,2,2793 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms xsaveopt,Xen,c3,c3.xlarge,32K,32K,256K,25600K,2793 MHz,62,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,1,0-3,,,,,,,,,,,,0-3,1,4,2,GenuineIntel,,full
11,x86_64,5800.03,Little Endian,2900.047,,6,,,"32-bit, 64-bit",8,AWS,4,2900 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm cpuid_fault invpcid_single pti fsgsbase bmi1 avx2 smep bmi2 erms invpcid xsaveopt,Xen,c4,c4.2xlarge,32K,32K,256K,25600K,2900 MHz,63,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,1,0-7,,,,,,,,,,,,0-7,1,2,2,GenuineIntel,,full
12,x86_64,5800.04,Little Endian,2899.819,,6,,,"32-bit, 64-bit",16,AWS,8,2900 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm cpuid_fault invpcid_single pti fsgsbase bmi1 avx2 smep bmi2 erms invpcid xsaveopt,Xen,c4,c4.4xlarge,32K,32K,256K,25600K,2900 MHz,63,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,1,0-15,,,,,,,,,,,,0-15,1,2,2,GenuineIntel,,full
13,x86_64,5799.99,Little Endian,1801.192,,6,3500.0000,1200.0000,"32-bit, 64-bit",36,AWS,9,2900 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor est ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm cpuid_fault invpcid_single pti fsgsbase bmi1 avx2 smep bmi2 erms invpcid xsaveopt ida,Xen,c4,c4.8xlarge,32K,32K,256K,25600K,2900 MHz,63,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,2,"0-8,18-26","9-17,27-35",,,,,,,,,,,0-35,2,2,2,GenuineIntel,,full
14,x86_64,5800.11,Little Endian,2899.932,,6,,,"32-bit, 64-bit",2,AWS,1,2900 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm cpuid_fault invpcid_single pti fsgsbase bmi1 avx2 smep bmi2 erms invpcid xsaveopt,Xen,c4,c4.large,32K,32K,256K,25600K,2900 MHz,63,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,1,"0,1",,,,,,,,,,,,"0,1",1,2,2,GenuineIntel,,full
15,x86_64,5800.14,Little Endian,2900.075,,6,,,"32-bit, 64-bit",4,AWS,2,2900 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm cpuid_fault invpcid_single pti fsgsbase bmi1 avx2 smep bmi2 erms invpcid xsaveopt,Xen,c4,c4.xlarge,32K,32K,256K,25600K,2900 MHz,63,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,1,0-3,,,,,,,,,,,,0-3,1,2,2,GenuineIntel,,full
16,x86_64,5999.99,Little Endian,1340.157,,6,,,"32-bit, 64-bit",48,AWS,24,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke avx512_vnni,KVM,c5,c5.12xlarge,32K,32K,1024K,36608K,3900 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,1,0-47,,,,,,,,,,,,0-47,1,7,2,GenuineIntel,,full
17,x86_64,5999.99,Little Endian,1524.832,,6,,,"32-bit, 64-bit",72,AWS,18,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke,KVM,c5,c5.18xlarge,32K,32K,1024K,25344K,3500 MHz,85,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2,"0-17,36-53","18-35,54-71",,,,,,,,,,,0-71,2,4,2,GenuineIntel,,full
18,x86_64,5999.99,Little Endian,1700.407,,6,,,"32-bit, 64-bit",96,AWS,24,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke avx512_vnni,KVM,c5,c5.24xlarge,32K,32K,1024K,36608K,3900 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,2,"0-23,48-71","24-47,72-95",,,,,,,,,,,0-95,2,7,2,GenuineIntel,,full
19,x86_64,5999.99,Little Endian,3601.312,,6,,,"32-bit, 64-bit",8,AWS,4,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke,KVM,c5,c5.2xlarge,32K,32K,1024K,36608K,3900 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,1,0-7,,,,,,,,,,,,0-7,1,7,2,GenuineIntel,,full
20,x86_64,5999.99,Little Endian,3599.984,,6,,,"32-bit, 64-bit",16,AWS,8,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke,KVM,c5,c5.4xlarge,32K,32K,1024K,36608K,3900 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,1,0-15,,,,,,,,,,,,0-15,1,7,2,GenuineIntel,,full
21,x86_64,5999.99,Little Endian,1358.433,,6,,,"32-bit, 64-bit",36,AWS,18,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke,KVM,c5,c5.9xlarge,32K,32K,1024K,25344K,3500 MHz,85,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,1,0-35,,,,,,,,,,,,0-35,1,4,2,GenuineIntel,,full
22,x86_64,5999.98,Little Endian,3600.171,,6,,,"32-bit, 64-bit",2,AWS,1,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke,KVM,c5,c5.large,32K,32K,1024K,36608K,3900 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,1,"0,1",,,,,,,,,,,,"0,1",1,7,2,GenuineIntel,,full
23,x86_64,6000.00,Little Endian,1854.473,,6,3900.0000,1200.0000,"32-bit, 64-bit",96,AWS,24,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf pni pclmulqdq dtes64 monitor ds_cpl vmx smx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid dca sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb cat_l3 cdp_l3 invpcid_single intel_ppin ssbd mba ibrs ibpb stibp ibrs_enhanced tpr_shadow vnmi flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid cqm mpx rdt_a avx512f avx512dq rdseed adx smap clflushopt clwb intel_pt avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local dtherm ida arat pln pts hwp hwp_act_window hwp_epp hwp_pkg_req pku ospke avx512_vnni md_clear flush_l1d arch_capabilities,,c5,c5.metal,32K,32K,1024K,36608K,4000 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,2,"0-23,48-71","24-47,72-95",,,,,,,,,,,0-95,2,7,2,GenuineIntel,VT-x,
24,x86_64,5999.99,Little Endian,3599.872,,6,,,"32-bit, 64-bit",4,AWS,2,3000 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves ida arat pku ospke,KVM,c5,c5.xlarge,32K,32K,1024K,36608K,3900 MHz,85,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,1,0-3,,,,,,,,,,,,0-3,1,7,2,GenuineIntel,,full
25,x86_64,5599.97,Little Endian,3301.910,,23,,,"32-bit, 64-bit",48,AWS,24,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.12xlarge,32K,32K,512K,16384K,3300 MHz,49,AMD EPYC 7R32,1,0-47,,,,,,,,,,,,0-47,1,0,2,AuthenticAMD,,full
26,x86_64,5599.99,Little Endian,2313.574,,23,,,"32-bit, 64-bit",64,AWS,32,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.16xlarge,32K,32K,512K,16384K,3300 MHz,49,AMD EPYC 7R32,1,0-63,,,,,,,,,,,,0-63,1,0,2,AuthenticAMD,,full
27,x86_64,5599.98,Little Endian,1841.527,,23,,,"32-bit, 64-bit",96,AWS,48,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext perfctr_core ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.24xlarge,32K,32K,512K,16384K,3300 MHz,49,AMD EPYC 7R32,1,0-95,,,,,,,,,,,,0-95,1,0,2,AuthenticAMD,,full
28,x86_64,5600.00,Little Endian,3299.681,,23,,,"32-bit, 64-bit",8,AWS,4,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.2xlarge,32K,32K,512K,16384K,3300 MHz,49,AMD EPYC 7R32,1,0-7,,,,,,,,,,,,0-7,1,0,2,AuthenticAMD,,full
29,x86_64,5599.88,Little Endian,3129.312,,23,,,"32-bit, 64-bit",16,AWS,8,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.4xlarge,32K,32K,512K,16384K,3300 MHz,49,AMD EPYC 7R32,1,0-15,,,,,,,,,,,,0-15,1,0,2,AuthenticAMD,,full
30,x86_64,5599.90,Little Endian,1912.882,,23,,,"32-bit, 64-bit",32,AWS,16,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.8xlarge,32K,32K,512K,16384K,3300 MHz,49,AMD EPYC 7R32,1,0-31,,,,,,,,,,,,0-31,1,0,2,AuthenticAMD,,full
31,x86_64,5599.59,Little Endian,3261.717,,23,,,"32-bit, 64-bit",2,AWS,1,2800 MHz,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save rdpid,KVM,c5a,c5a.large,32K,32K,512K,4096K,3300 MHz,49,AMD EPYC 7R32,1,"0,1",,,,,,,,,,,,"0,1",1,0,2,AuthenticAMD,,full
